capacity,soc,current,half_voltage,final_voltage
912.28,91.23,87.44,2.09,4.18
912.11,91.21,87.47,2.09,4.18
911.94,91.19,87.7,2.1,4.2
911.77,91.18,87.74,2.09,4.18
911.6,91.16,87.77,2.09,4.18
911.43,91.14,87.76,2.08,4.16
911.26,91.13,87.78,2.08,4.16
911.09,91.11,87.86,2.08,4.16
910.92,91.09,87.82,2.08,4.16
910.75,91.07,87.85,2.08,4.16
910.58,91.06,87.83,2.08,4.16
910.41,91.04,87.84,2.08,4.16
910.24,91.02,87.87,2.08,4.16
910.07,91.01,87.84,2.08,4.16
909.89,90.99,87.88,2.08,4.16
909.72,90.97,87.85,2.08,4.16
909.55,90.95,87.83,2.08,4.16
909.38,90.94,87.81,2.08,4.16
909.21,90.92,87.82,2.09,4.18
909.04,90.9,87.8,2.09,4.18
908.87,90.89,87.79,2.09,4.18
908.7,90.87,87.82,2.08,4.16
908.53,90.85,87.78,2.09,4.18
908.36,90.84,87.76,2.08,4.16
908.19,90.82,87.75,2.09,4.18
908.02,90.8,87.72,2.09,4.18
907.85,90.78,87.71,2.08,4.16
907.68,90.77,87.7,2.08,4.16
907.51,90.75,87.68,2.09,4.18
907.33,90.73,87.68,2.09,4.18
907.16,90.72,87.67,2.09,4.18
906.99,90.7,87.67,2.09,4.18
906.82,90.68,87.67,2.09,4.18
906.65,90.66,87.66,2.08,4.16
906.48,90.65,87.67,2.08,4.16
906.31,90.63,87.66,2.09,4.18
906.14,90.61,87.65,2.09,4.18
905.97,90.6,87.62,2.09,4.18
905.8,90.58,87.61,2.09,4.18
905.63,90.56,87.59,2.09,4.18
905.46,90.54,87.58,2.09,4.18
905.29,90.53,87.58,2.09,4.18
905.12,90.51,87.6,2.09,4.18
904.95,90.49,87.56,2.09,4.18
904.77,90.48,87.55,2.09,4.18
904.6,90.46,87.57,2.09,4.18
904.43,90.44,87.56,2.09,4.18
904.26,90.43,87.52,2.09,4.18
904.09,90.41,87.56,2.09,4.18
903.92,90.39,87.53,2.09,4.18
903.75,90.37,87.5,2.09,4.18
903.58,90.36,87.53,2.09,4.18
903.41,90.34,87.48,2.09,4.18
903.24,90.32,87.54,2.09,4.18
903.07,90.31,87.55,2.09,4.18
902.9,90.29,87.55,2.09,4.18
902.73,90.27,87.54,2.09,4.18
902.56,90.25,87.53,2.09,4.18
902.39,90.24,87.54,2.09,4.18
902.22,90.22,87.51,2.09,4.18
902.04,90.2,87.59,2.09,4.18
901.87,90.19,87.63,2.09,4.18
901.7,90.17,87.64,2.09,4.18
901.53,90.15,87.62,2.09,4.18
901.36,90.14,87.64,2.09,4.18
901.19,90.12,87.62,2.09,4.18
901.02,90.1,87.65,2.09,4.18
900.85,90.08,87.6,2.09,4.18
900.68,90.07,87.64,2.09,4.18
900.51,90.05,87.64,2.09,4.18
900.34,90.03,87.63,2.09,4.18
900.17,90.02,87.63,2.09,4.18
900,90,87.65,2.09,4.18
899.83,89.98,87.67,2.09,4.18
899.66,89.96,87.75,2.08,4.16
899.48,89.95,87.91,2.08,4.16
899.31,89.93,87.94,2.08,4.16
899.14,89.91,87.95,2.08,4.16
898.97,89.9,87.97,2.08,4.16
898.8,89.88,87.91,2.08,4.16
898.63,89.86,87.92,2.08,4.16
898.46,89.85,87.9,2.07,4.14
898.29,89.83,87.86,2.08,4.16
898.12,89.81,87.79,2.08,4.16
897.95,89.79,87.76,2.08,4.16
897.78,89.78,87.74,2.09,4.18
897.61,89.76,87.71,2.09,4.18
897.44,89.74,87.6,2.09,4.18
897.27,89.73,87.52,2.09,4.18
897.1,89.71,87.43,2.09,4.18
896.92,89.69,87.4,2.08,4.16
896.75,89.67,87.41,2.08,4.16
896.58,89.66,87.49,2.09,4.18
896.41,89.64,87.51,2.1,4.2
896.24,89.62,87.43,2.1,4.2
896.07,89.61,87.45,2.1,4.2
895.9,89.59,87.46,2.1,4.2
895.73,89.57,87.47,2.1,4.2
895.56,89.56,87.42,2.1,4.2
895.39,89.54,87.44,2.1,4.2
895.22,89.52,87.43,2.1,4.2
895.05,89.5,87.41,2.1,4.2
894.88,89.49,87.44,2.1,4.2
894.71,89.47,87.44,2.1,4.2
894.54,89.45,87.46,2.09,4.18
894.36,89.44,87.45,2.09,4.18
894.19,89.42,87.44,2.1,4.2
894.02,89.4,87.48,2.1,4.2
893.85,89.38,87.46,2.1,4.2
893.68,89.37,87.47,2.1,4.2
893.51,89.35,87.62,2.09,4.18
893.34,89.33,87.66,2.09,4.18
893.17,89.32,87.65,2.09,4.18
893,89.3,87.66,2.1,4.2
892.83,89.28,87.65,2.1,4.2
892.66,89.26,87.62,2.1,4.2
892.49,89.25,87.62,2.09,4.18
892.32,89.23,87.58,2.09,4.18
892.15,89.21,87.58,2.09,4.18
891.98,89.2,87.52,2.1,4.2
891.81,89.18,87.46,2.1,4.2
891.63,89.16,87.35,2.1,4.2
891.46,89.15,87.3,2.11,4.22
891.29,89.13,87.22,2.1,4.2
891.12,89.11,87.22,2.1,4.2
890.95,89.09,87.65,2.09,4.18
890.78,89.08,87.62,2.09,4.18
890.61,89.06,87.69,2.09,4.18
890.44,89.04,87.68,2.09,4.18
890.27,89.03,87.67,2.1,4.2
890.1,89.01,87.65,2.1,4.2
889.93,88.99,87.64,2.09,4.18
889.76,88.97,87.63,2.1,4.2
889.59,88.96,87.61,2.1,4.2
889.42,88.94,87.59,2.1,4.2
889.25,88.92,87.59,2.1,4.2
889.07,88.91,87.57,2.11,4.22
888.9,88.89,87.55,2.1,4.2
888.73,88.87,87.51,2.1,4.2
888.56,88.86,87.49,2.1,4.2
888.39,88.84,87.47,2.1,4.2
888.22,88.82,87.47,2.11,4.22
888.05,88.8,87.47,2.1,4.2
887.88,88.79,87.44,2.1,4.2
887.71,88.77,87.45,2.1,4.2
887.54,88.75,87.41,2.11,4.22
887.37,88.74,87.42,2.11,4.22
887.2,88.72,87.41,2.1,4.2
887.03,88.7,87.39,2.1,4.2
886.86,88.68,87.39,2.11,4.22
886.69,88.67,87.35,2.1,4.2
886.51,88.65,87.32,2.1,4.2
886.34,88.63,87.31,2.1,4.2
886.17,88.62,87.27,2.1,4.2
886,88.6,87.27,2.1,4.2
885.83,88.58,87.26,2.1,4.2
885.66,88.57,87.23,2.1,4.2
885.49,88.55,87.24,2.11,4.22
885.32,88.53,87.16,2.11,4.22
885.15,88.51,87.13,2.11,4.22
884.98,88.5,87.09,2.11,4.22
884.81,88.48,87.05,2.11,4.22
884.64,88.46,87.01,2.12,4.24
884.47,88.45,86.94,2.11,4.22
884.3,88.43,86.9,2.11,4.22
884.13,88.41,86.88,2.12,4.24
883.96,88.39,86.82,2.12,4.24
883.78,88.38,86.71,2.11,4.22
883.61,88.36,86.82,2.11,4.22
883.44,88.34,86.84,2.12,4.24
883.27,88.33,86.58,2.12,4.24
883.1,88.31,86.01,2.13,4.26
882.93,88.29,86.12,2.12,4.24
882.76,88.27,86.26,2.12,4.24
882.59,88.26,86.28,2.12,4.24
882.42,88.24,86.21,2.14,4.28
882.25,88.22,86.09,2.13,4.26
882.08,88.21,87.54,2.11,4.22
881.91,88.19,86.86,2.12,4.24
881.74,88.17,86.6,2.12,4.24
881.57,88.16,86.38,2.12,4.24
881.4,88.14,86.19,2.13,4.26
881.22,88.12,85.94,2.13,4.26
881.05,88.1,85.74,2.13,4.26
880.88,88.09,86.4,2.13,4.26
880.71,88.07,86.41,2.13,4.26
880.54,88.05,86.3,2.12,4.24
880.37,88.04,86.17,2.13,4.26
880.2,88.02,86.12,2.13,4.26
880.03,88,86.04,2.13,4.26
879.86,87.98,85.96,2.13,4.26
879.69,87.97,85.95,2.13,4.26
879.52,87.95,86.35,2.13,4.26
