capacity,soc,current,half_voltage,final_voltage
1006.31,91.48,47.49,2.01,4.02
1006.14,91.46,47.49,2.02,4.04
1005.97,91.45,47.49,2.01,4.02
1005.8,91.43,47.48,2.01,4.02
1005.63,91.42,47.49,2.01,4.02
1005.46,91.4,47.46,2.01,4.02
1005.29,91.39,47.49,2.01,4.02
1005.12,91.37,47.49,2.01,4.02
1004.95,91.36,47.48,2.01,4.02
1004.77,91.34,47.46,2.01,4.02
1004.6,91.33,47.48,2.01,4.02
1004.43,91.31,47.48,2.01,4.02
1004.26,91.29,47.48,2.01,4.02
1004.09,91.28,47.47,2.01,4.02
1003.92,91.26,47.48,2.01,4.02
1003.75,91.25,47.48,2.01,4.02
1003.58,91.23,47.47,2.01,4.02
1003.41,91.22,47.47,2.01,4.02
1003.24,91.2,47.46,2.01,4.02
1003.07,91.19,47.45,2.01,4.02
1002.9,91.17,47.47,2.01,4.02
1002.73,91.15,47.48,2.01,4.02
1002.56,91.14,47.47,2.01,4.02
1002.39,91.12,47.47,2.01,4.02
1002.22,91.11,47.47,2.03,4.06
1002.04,91.09,47.47,2.01,4.02
1001.87,91.08,47.44,2.01,4.02
1001.7,91.06,47.46,2.01,4.02
1001.53,91.05,47.48,2.01,4.02
1001.36,91.03,47.47,2,4
1001.19,91.01,47.47,2.01,4.02
1001.02,91,47.45,2.01,4.02
1000.85,90.98,47.48,2.01,4.02
1000.68,90.97,47.46,2,4
1000.51,90.95,47.45,2.02,4.04
1000.34,90.94,47.45,2,4
1000.17,90.92,47.46,1.99,3.98
1000,90.91,47.45,2.01,4.02
999.83,90.89,47.44,2.01,4.02
999.66,90.88,47.46,2.01,4.02
999.48,90.86,47.45,2.01,4.02
999.31,90.84,47.46,2.01,4.02
999.14,90.83,47.46,2.01,4.02
998.97,90.81,47.45,2.01,4.02
998.8,90.8,47.45,2.01,4.02
998.63,90.78,47.46,2.02,4.04
998.46,90.77,47.46,2.01,4.02
998.29,90.75,47.47,2.01,4.02
998.12,90.74,47.46,2.02,4.04
997.95,90.72,47.46,2.02,4.04
997.78,90.7,47.46,2.02,4.04
997.61,90.69,47.48,2.02,4.04
997.44,90.67,47.44,2.02,4.04
997.27,90.66,47.44,2.02,4.04
997.1,90.64,47.46,2.02,4.04
996.92,90.63,47.46,2.02,4.04
996.75,90.61,47.46,2.02,4.04
996.58,90.6,47.46,2.02,4.04
996.41,90.58,47.46,2.02,4.04
996.24,90.56,47.47,2.02,4.04
996.07,90.55,47.46,2.02,4.04
995.9,90.53,47.44,2.02,4.04
995.73,90.52,47.44,2.04,4.08
995.56,90.5,47.45,2.02,4.04
995.39,90.49,47.44,2.02,4.04
995.22,90.47,47.45,2.02,4.04
995.05,90.46,47.45,2.02,4.04
994.88,90.44,47.44,2.02,4.04
994.71,90.43,47.46,2.02,4.04
994.54,90.41,47.46,2.02,4.04
994.36,90.39,47.45,2.04,4.08
994.19,90.38,47.46,2.02,4.04
994.02,90.36,47.45,2.02,4.04
993.85,90.35,47.43,2.02,4.04
993.68,90.33,47.43,2.02,4.04
993.51,90.32,47.45,2.02,4.04
993.34,90.3,47.45,2.02,4.04
993.17,90.29,47.45,2.02,4.04
993,90.27,47.44,2.02,4.04
992.83,90.25,47.44,2.02,4.04
992.66,90.24,47.44,2.02,4.04
992.49,90.22,47.45,2.02,4.04
992.32,90.21,47.44,2.02,4.04
992.15,90.19,47.45,2.02,4.04
991.98,90.18,47.44,2.02,4.04
991.81,90.16,47.44,2.02,4.04
991.63,90.15,47.43,2.02,4.04
991.46,90.13,47.43,2.02,4.04
991.29,90.11,47.45,2.02,4.04
991.12,90.1,47.44,2.02,4.04
990.95,90.08,47.44,2.02,4.04
990.78,90.07,47.44,2.02,4.04
990.61,90.05,47.45,2.02,4.04
990.44,90.04,47.44,2.03,4.06
990.27,90.02,47.44,2.02,4.04
990.1,90.01,47.43,2.02,4.04
989.93,89.99,47.44,2.02,4.04
989.76,89.98,47.45,2.02,4.04
989.59,89.96,47.44,2.02,4.04
989.42,89.94,47.44,2.02,4.04
989.25,89.93,47.44,2.02,4.04
989.07,89.91,47.43,2.04,4.08
988.9,89.9,47.41,2.02,4.04
988.73,89.88,47.42,2.02,4.04
988.56,89.87,47.42,2.02,4.04
988.39,89.85,47.43,2.02,4.04
988.22,89.84,47.44,2.02,4.04
988.05,89.82,47.42,2.02,4.04
987.88,89.8,47.37,2.02,4.04
987.71,89.79,47.44,2.02,4.04
987.54,89.77,47.42,2.02,4.04
987.37,89.76,47.44,2.02,4.04
987.2,89.74,47.42,2.02,4.04
987.03,89.73,47.42,2.02,4.04
986.86,89.71,47.44,2.02,4.04
986.69,89.7,47.42,2.02,4.04
986.51,89.68,47.44,2.02,4.04
986.34,89.66,47.42,2.02,4.04
